Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]
RIL_8W_EP19_41	NCBI:4577	Zea	mays	sample collection	pot_167	plant	[plant]167
RIL_8W_EP19_44	NCBI:4577	Zea	mays	sample collection	pot_168	plant	[plant]168
RIL_8W_EP1_1	NCBI:4577	Zea	mays	sample collection	pot_1	plant	[plant]1
RIL_8W_EP1_15	NCBI:4577	Zea	mays	sample collection	pot_2	plant	[plant]2
RIL_8W_EP1_25	NCBI:4577	Zea	mays	sample collection	pot_4	plant	[plant]4
RIL_8W_EP1_3	NCBI:4577	Zea	mays	sample collection	pot_5	plant	[plant]5
RIL_8W_EP1_30	NCBI:4577	Zea	mays	sample collection	pot_6	plant	[plant]6
RIL_8W_EP1_31	NCBI:4577	Zea	mays	sample collection	pot_7	plant	[plant]7
RIL_8W_EP1_32	NCBI:4577	Zea	mays	sample collection	pot_8	plant	[plant]8
RIL_8W_EP1_44	NCBI:4577	Zea	mays	sample collection	pot_10	plant	[plant]10
RIL_8W_EP1_47	NCBI:4577	Zea	mays	sample collection	pot_12	plant	[plant]12
RIL_8W_EP1_66	NCBI:4577	Zea	mays	sample collection	pot_13	plant	[plant]13
RIL_8W_EP1_80	NCBI:4577	Zea	mays	sample collection	pot_14	plant	[plant]14
RIL_8W_EP1_89	NCBI:4577	Zea	mays	sample collection	pot_15	plant	[plant]15
RIL_8W_EP1_94	NCBI:4577	Zea	mays	sample collection	pot_16	plant	[plant]16
RIL_8W_EP20_15	NCBI:4577	Zea	mays	sample collection	pot_186	plant	[plant]186
RIL_8W_EP20_17	NCBI:4577	Zea	mays	sample collection	pot_187	plant	[plant]187
RIL_8W_EP20_24	NCBI:4577	Zea	mays	sample collection	pot_188	plant	[plant]188
RIL_8W_EP20_28	NCBI:4577	Zea	mays	sample collection	pot_190	plant	[plant]190
RIL_8W_EP20_30	NCBI:4577	Zea	mays	sample collection	pot_191	plant	[plant]191
RIL_8W_EP20_31	NCBI:4577	Zea	mays	sample collection	pot_192	plant	[plant]192
RIL_8W_EP20_44	NCBI:4577	Zea	mays	sample collection	pot_193	plant	[plant]193
RIL_8W_EP20_54	NCBI:4577	Zea	mays	sample collection	pot_195	plant	[plant]195
RIL_8W_EP20_56	NCBI:4577	Zea	mays	sample collection	pot_196	plant	[plant]196
RIL_8W_EP20_57	NCBI:4577	Zea	mays	sample collection	pot_197	plant	[plant]197
RIL_8W_EP20_8	NCBI:4577	Zea	mays	sample collection	pot_198	plant	[plant]198
RIL_8W_EP20_9	NCBI:4577	Zea	mays	sample collection	pot_199	plant	[plant]199
RIL_8W_EP21_10	NCBI:4577	Zea	mays	sample collection	pot_200	plant	[plant]200
RIL_8W_EP21_11	NCBI:4577	Zea	mays	sample collection	pot_201	plant	[plant]201
RIL_8W_EP21_12	NCBI:4577	Zea	mays	sample collection	pot_202	plant	[plant]202
RIL_8W_EP21_16	NCBI:4577	Zea	mays	sample collection	pot_203	plant	[plant]203
RIL_8W_EP21_19	NCBI:4577	Zea	mays	sample collection	pot_204	plant	[plant]204
RIL_8W_EP21_2	NCBI:4577	Zea	mays	sample collection	pot_205	plant	[plant]205
RIL_8W_EP21_20	NCBI:4577	Zea	mays	sample collection	pot_206	plant	[plant]206
