observationLevels[BLOCK]	observationLevels[BLOCK>PLOT>PLANT]	observationLevels[BLOCK>PLOT]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	NB_SHOOT_II_PLANT	NB_NCP_PLANT	NB_INFLO_NCP_PLANT	NB_SHOOTS_SPURS_PLANT	NB_SHOOT_ALL_M2	NB_INFLO_II_PLANT	FERT_SHOOT_II	NB_INFLO_SPURS_PLANT	FERT_SPURS	NB_SHOOT_I_PLANT	HS_Tmax_B02_15FB	BUD_DATE	FERT_PRIM	FERT_NCP	DOY_BUD	FERT_SHOOT_I	NB_SHOOT_ALL_PLANT	FERT_GLOB	NB_SHOOT_I_M2	NB_INFLO_ALL_PLANT	NB_INFLO_I_PLANT
1	26780.2	26780	2992651-2008	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2008	NA															117.72489082969						
1	26780.2	26780	2992651-2008	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2008	NA											671.2										
1	26780.2	26780	2992651-2009	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2009	NA												2009-04-13									
1	26780.2	26780	2992651-2009	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2009	NA															103.88828337875						
1	26780.2	26780	2992651-2009	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2009	NA											518.4										
1	26780.2	26780	2992651-2009	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2009	NA										13											
1	26780.2	26780	2992651-2009	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2009	NA				1																	
1	26780.2	26780	2992651-2009	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2009	NA	0																				
1	26780.2	26780	2992651-2009	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2009	NA		4																			
1	26780.2	26780	2992651-2009	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2009	NA																					26
1	26780.2	26780	2992651-2009	gnpis.lot:'0213E'	31	2	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzM1VzZHWA==	Riesling*Gewurztraminer0213E	41220Col0213E	2009	NA								1													
