observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Circum1	Height1	REP	Shoots3	Circum2	Syllep1	Height2
2889437-2004	gnpis.lot:'661300267'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05VRlJPTw==	661300267	661300267	2004	2004-01-01T01:00:00Z		298.10000000000002					
2889437-2004	gnpis.lot:'661300267'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05VRlJPTw==	661300267	661300267	2004	2004-12-01T01:00:00Z							850.7
2889437-2004	gnpis.lot:'661300267'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05VRlJPTw==	661300267	661300267	2004	2004-01-01T01:00:00Z						37.86	
2889437-2004	gnpis.lot:'661300267'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05VRlJPTw==	661300267	661300267	2004	2004-12-01T01:00:00Z			6				
2889437-2005	gnpis.lot:'661300267'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05VRlJPTw==	661300267	661300267	2005	2005-05-01T02:00:00Z				10.989224999999999			
2889437-2005	gnpis.lot:'661300267'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L05VRlJPTw==	661300267	661300267	2005	2005-05-01T02:00:00Z			6				
2889720-2004	gnpis.lot:'661300575'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BIUkpNWg==	661300575	661300575	2004	2004-01-01T01:00:00Z	55.74						
2889720-2004	gnpis.lot:'661300575'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BIUkpNWg==	661300575	661300575	2004	2004-12-01T01:00:00Z					151.78		
2889720-2004	gnpis.lot:'661300575'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BIUkpNWg==	661300575	661300575	2004	2004-01-01T01:00:00Z		260.39999999999998					
2889720-2004	gnpis.lot:'661300575'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BIUkpNWg==	661300575	661300575	2004	2004-12-01T01:00:00Z							779
2889720-2004	gnpis.lot:'661300575'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BIUkpNWg==	661300575	661300575	2004	2004-01-01T01:00:00Z						28.19	
2889720-2004	gnpis.lot:'661300575'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BIUkpNWg==	661300575	661300575	2004	2004-12-01T01:00:00Z			6				
2889720-2005	gnpis.lot:'661300575'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BIUkpNWg==	661300575	661300575	2005	2005-05-01T02:00:00Z				9.7968999999999991			
2889720-2005	gnpis.lot:'661300575'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L1BIUkpNWg==	661300575	661300575	2005	2005-05-01T02:00:00Z			6				
2889466-2004	gnpis.lot:'661300307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y0V0VXUw==	661300307	661300307	2004	2004-01-01T01:00:00Z	51.13						
2889466-2004	gnpis.lot:'661300307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y0V0VXUw==	661300307	661300307	2004	2004-12-01T01:00:00Z					135.47999999999999		
2889466-2004	gnpis.lot:'661300307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y0V0VXUw==	661300307	661300307	2004	2004-01-01T01:00:00Z		247.4					
2889466-2004	gnpis.lot:'661300307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y0V0VXUw==	661300307	661300307	2004	2004-12-01T01:00:00Z							778.1
2889466-2004	gnpis.lot:'661300307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y0V0VXUw==	661300307	661300307	2004	2004-01-01T01:00:00Z						21.22	
2889466-2004	gnpis.lot:'661300307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y0V0VXUw==	661300307	661300307	2004	2004-12-01T01:00:00Z			6				
2889466-2005	gnpis.lot:'661300307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y0V0VXUw==	661300307	661300307	2005	2005-05-01T02:00:00Z				8.1339039999999994			
2889466-2005	gnpis.lot:'661300307'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0Y0V0VXUw==	661300307	661300307	2005	2005-05-01T02:00:00Z			6				
2889497-2004	gnpis.lot:'661300341'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dFVlpXSw==	661300341	661300341	2004	2004-01-01T01:00:00Z	72.400000000000006						
2889497-2004	gnpis.lot:'661300341'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0dFVlpXSw==	661300341	661300341	2004	2004-12-01T01:00:00Z					196.28		
