observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	ht	prec	r	rdt	sept	ps
2833568-2008	gnpis.lot:'RE07087'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Nw==	RE07087	RE07087	2008	NA			124,9			
2833568-2008	gnpis.lot:'RE07087'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Nw==	RE07087	RE07087	2008	NA				49,8		
2833568-2008	gnpis.lot:'RE07087'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Nw==	RE07087	RE07087	2008	NA	98					
2833568-2008	gnpis.lot:'RE07087'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Nw==	RE07087	RE07087	2008	NA		143				
2833568-2008	gnpis.lot:'RE07087'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Nw==	RE07087	RE07087	2008	NA						71,6
2833568-2008	gnpis.lot:'RE07087'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNzA4Nw==	RE07087	RE07087	2008	NA					3	
2833557-2008	gnpis.lot:'DI08009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOQ==	DI08009	DI08009	2008	NA			120,6			
2833557-2008	gnpis.lot:'DI08009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOQ==	DI08009	DI08009	2008	NA				48,1		
2833557-2008	gnpis.lot:'DI08009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOQ==	DI08009	DI08009	2008	NA	78					
2833557-2008	gnpis.lot:'DI08009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOQ==	DI08009	DI08009	2008	NA		142				
2833557-2008	gnpis.lot:'DI08009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOQ==	DI08009	DI08009	2008	NA						69,9
2833557-2008	gnpis.lot:'DI08009'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6REkwODAwOQ==	DI08009	DI08009	2008	NA					3,2	
2833532-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA			101,2			
2833532-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA				40,4		
2833532-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA	83					
2833532-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA		136				
2833532-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA						70,2
2833532-2008	gnpis.lot:'Premio'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzVZQjQ0Sw==	PREMIO	29855	2008	NA					6,8	
2833569-2008	gnpis.lot:'AO08514'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxNA==	AO08514	AO08514	2008	NA			86,3			
2833569-2008	gnpis.lot:'AO08514'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxNA==	AO08514	AO08514	2008	NA				34,4		
2833569-2008	gnpis.lot:'AO08514'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxNA==	AO08514	AO08514	2008	NA	80					
2833569-2008	gnpis.lot:'AO08514'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxNA==	AO08514	AO08514	2008	NA		133				
2833569-2008	gnpis.lot:'AO08514'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxNA==	AO08514	AO08514	2008	NA						68,8
2833569-2008	gnpis.lot:'AO08514'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6QU8wODUxNA==	AO08514	AO08514	2008	NA					7	
