observationLevels[REPLICATION]	observationUnitDbId	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	vr	rdt	ps
2	2826235-2007	gnpis.lot:'DI07021'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0hJVUtYRQ==	DI07021	36784	2007	NA			
2	2826247-2007	gnpis.lot:'EM06303'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjMwMw==	EM06303	EM06303	2007	NA		93,71	
2	2826247-2007	gnpis.lot:'EM06303'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjMwMw==	EM06303	EM06303	2007	NA			73,1
2	2826247-2007	gnpis.lot:'EM06303'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6RU0wNjMwMw==	EM06303	EM06303	2007	NA			
1	2826350-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA		93,82	
1	2826350-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA			74,1
1	2826350-2007	gnpis.lot:'RE06125'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEyNQ==	RE06125	RE06125	2007	NA			
2	2826261-2007	gnpis.lot:'RE06139'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDSkNOTg==	RE06139	32789	2007	NA		53,17	
2	2826261-2007	gnpis.lot:'RE06139'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDSkNOTg==	RE06139	32789	2007	NA			57,9
2	2826261-2007	gnpis.lot:'RE06139'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0NDSkNOTg==	RE06139	32789	2007	NA	8		
2	2826335-2007	gnpis.lot:'RE06109'	NA	NA	Z25waXNfcHVpOnVua25vd246V2hlYXQ6UkUwNjEwOQ==	RE06109	RE06109	2007	NA		85,71	
